paragraph_start_line,kind,sentence
2166,quantitative+implementation,"of the certified RB-SR pipeline. (a) The conditional neural field receives the standardised 91-D edit-and-source condition x, an 8-D latent code and 15-D static per-vertex features."
2166,quantitative,"During training, the posterior additionally observes the 16-D delta-PCA target code; at inference, the prior mean z= _p( x) is used."
2166,narrative,The decoder produces the dense neural proposal D_N. (b) This proposal gives the Ridge-relative residual R= D_N- D_R.
2166,narrative,"The per-vertex gate receives [ _v, x, s_v, D_R(v), R(v)] and produces D_ raw= D_R+g R."
2166,quantitative+implementation,"Exact-handle projection gives D_ hard; the non-learned certificate locally attenuates the residual by 0.75 on vertices of newly folded faces, with a uniform Ridge fallback, until K( D_ cert) K( D_R)."
2166,narrative,Solid paths are used at inference; dashed orange paths are training-only.
2166,narrative,Orientation and strain budgets supervise the gate but are not additional feed-forward gate inputs at inference.
2187,implementation_claim,"For reproducibility, the same pipeline is written algorithmically in ."
2187,narrative,"The table makes explicit where the source identity enters, where the learned residual is formed, and where RB-SR changes a residual proposal into an admitted dense prediction."
2200,narrative,Step Operation Tensor / formula Output \\
2202,quantitative+implementation,"1 Encode sparse edit c=[ p_1, , p_9] R^27 Control vector \\ 2 Encode source identity Project source ROI onto train-only PCA basis _ src R^64 \\ 3 Build condition x=[ c, _ src] R^91, then train-set z-score x \\ 4 Ridge anchor D_R= xW+b (3934,3) field \\ 5 CVAE dense proposal Use prior mean z= _p( x) and decode per-vertex field D_N \\ 6 Residual field R= D_N- D_R Proposed residual \\ 7 Spatial gate g(v)= (G_ ) g ^V \\ 8 Gated refinement D_ raw= D_R+g R Raw field \\ 9 Exact handles D_ hard= project_ H( D_ raw) Hard-projected field \\ 10 Fold certificate D_ cert= _ fold( D_ hard; D_R) Certified field \\ 11 Strict audit Verify K( D_ cert) K( D_R); compute RMSE, new flips and edge strain Metrics \\"
2223,implementation_claim,The first stage maps the sparse nasal controls and the source-identity context to a dense ROI displacement.
2223,quantitative,The nine landmark displacements form a 27-dimensional control vector c.
2223,quantitative,"The source ROI is projected onto a training-set PCA basis, giving _ src R^64."
2223,quantitative,Their concatenation is the 91-dimensional condition
2229,narrative,"x=[ c, _ src], x= zscore_ train( x)."
2233,narrative,"On centred training matrices, the ridge operator is"
2235,quantitative,"W=( X^ X+ I)^-1 X^ Y, D_R= x W+ b,"
2241,quantitative,where Y contains the dense ROI displacement fields and =300.
2241,quantitative+implementation,The output D_R R^3934 3 is both the real-time anchor and the reference field used by the later certificate.
2254,narrative,Block Operation Input Output \\
2256,quantitative,"Condition Concatenation and z-score (B,27)+(B,64) (B,91) \\ Ridge map Affine ridge regression (B,91) (B,11802) \\ ROI reshape Tensor reshape (B,11802) (B,3934,3) \\"
2267,narrative,The validation component analysis first compares the two complete dense proposals before residual admission.
2267,quantitative,"Ridge obtains ROI RMSE 1.1249, target-relative new flips 0.3541\% and edge-strain p_95=0.2178; the CVAE-only proposal obtains 1.3966, 1.3668\% and 0.2388, respectively."
2267,quantitative,"The direct nonlinear proposal is therefore less accurate and substantially more fold-prone than the linear anchor on the same 4\,830 ordered pairs."
2274,narrative,The source-conditioning ablation then tests whether the anchor actually uses the source geometry.
2274,quantitative,Matched source-PCA conditioning gives RMSE 1.1249.
2274,comparative_claim,Removing the source code increases RMSE to 1.2770; replacing it with the mean source code gives 1.4522; and shuffling source codes gives 1.6373.
2274,narrative,This validation analysis supports a narrow conclusion: the source code carries identity-specific predictive information.
2274,narrative,"The shuffled-source result further shows that the gain depends on matching the controls to the correct source morphology, rather than merely appending a PCA vector."
2284,quantitative,figures/final/fig_4_4_stage1_anchor_evidence.pdf
2287,quantitative,"(4\,830 ordered pairs). (a,b) Ridge and CVAE-only dense proposals. (c) Source-conditioning ablation."
2287,comparative_claim,Lower values are better.
2294,narrative,The source-conditioned ridge map provides the most reliable dense starting point and a deterministic fallback.
2294,narrative,The CVAE is therefore not used as a stand-alone generator.
2294,narrative,Its output may nevertheless contain nonlinear corrections that the ridge map cannot express.
2294,quantitative,Stage 2 tests those corrections as a ridge-relative residual rather than replacing the anchor.
2305,narrative,The conditional neural field produces a dense proposal D_N.
2305,quantitative,"During training, the posterior encoder additionally observes the 16-dimensional delta-PCA target code; at inference, the prior mean z= _p( x) is used."
2305,quantitative,"The decoder input at vertex v is [ _v, x,z], where _v R^15 contains static per-vertex features."
2305,narrative,"The proposal is converted to a ridge-relative residual,"
2312,narrative,"R= D_N- D_R, R^*= D^*- D_R."
2316,narrative,A fixed global blend provides the diagnostic candidate
2322,narrative,The residual is a proposal rather than a final output because its accuracy gain does not imply geometric safety.
2330,quantitative,ROI vertex count V=3934.
2334,narrative,Block Operation Input Output Params \\
2336,quantitative,Prior trunk Linear 91\!
2336,quantitative,"\!128; SiLU; LayerNorm (B,91) (B,128) 12032 \\ Prior heads Two linear 128\!"
2336,quantitative,"\!8 heads (B,128) 2 (B,8) 2064 \\ Posterior trunk Linear 107\!"
2336,quantitative,"\!128; SiLU; LayerNorm (B,107) (B,128) 14080 \\ Posterior heads Two linear 128\!"
2336,quantitative,"\!8 heads (B,128) 2 (B,8) 2064 \\ Decoder input Vertex-wise concatenation (B,V,15+91+8) (B,V,114) 0 \\ Decoder block 1 Linear 114\!"
2336,quantitative,"\!128; SiLU; LayerNorm (B,V,114) (B,V,128) 14976 \\ Decoder block 2 Linear 128\!"
2336,quantitative,"\!128; SiLU; LayerNorm (B,V,128) (B,V,128) 16768 \\ Decoder output Linear 128\!"
2336,quantitative,"\!3 (B,V,128) (B,V,3) 387 \\"
2345,quantitative,Total -- -- -- 62371 \\
2354,narrative,The validation sweep is a diagnostic probe rather than a search for a deployable scalar blend: it tests whether the nonlinear proposal contains a useful Ridge-relative correction and whether that correction can be admitted uniformly.
2354,narrative,It evaluates D_R+ R for .
2354,quantitative,The anchor ( =0) gives RMSE 1.1249 and new flips 0.3541\%.
2354,comparative_claim,"A small residual at =0.1 improves RMSE to 1.1183 and reduces edge strain from 0.2178 to 0.2081, but increases new flips to 0.4742\%."
2354,quantitative,Fold incidence rises monotonically with ; using the full proposal ( =1) gives RMSE 1.3966 and new flips 1.3668\%.
2354,comparative_claim,"The three metrics favour different scales: RMSE is lowest at =0.1, fold incidence increases with admission, and edge strain reaches its minimum at =0.5."
2354,narrative,No single global coefficient resolves all three objectives.
2368,quantitative,figures/final/fig_4_5_stage2_residual_evidence.pdf
2371,quantitative,"4\,830 validation pairs."
2371,quantitative,The marked =0.1 point gives the lowest RMSE; larger residual scales increase fold incidence.
2378,narrative,"The neural residual contains a small useful correction, but global blending cannot separate beneficial vertices from harmful ones."
2378,quantitative,The fixed =0.1 blend is therefore retained only as an ablation.
2378,quantitative,Stage 3 replaces the global coefficient with a learned per-vertex admission weight.
2388,narrative,The spatial gate predicts g(v) from
2390,narrative,"g(v)= \! ( G_ [ _v, x, s_v, D_R(v), R(v)] ),"
2395,narrative,where s_v is the normalised source coordinate.
2395,narrative,The raw field and the exact-handle field are
2399,narrative,"D_ raw = D_R+g R,\\ D_ hard = project_ H \! ( D_ raw )."
2407,narrative,Orientation and strain budgets supervise the gate during training but are not additional gate inputs at inference.
2407,implementation_claim,The browser OOD score is a separate input-applicability check.
2419,narrative,Block Operation Input Output Params \\
2421,quantitative,"Gate input Concatenation (B,V,115) (B,V,115) 0 \\ Gate block 1 Linear 115\!"
2421,quantitative,"\!64; SiLU; LayerNorm (B,V,115) (B,V,64) 7552 \\ Gate block 2 Linear 64\!"
2421,quantitative,"\!64; SiLU; LayerNorm (B,V,64) (B,V,64) 4288 \\ Gate output Linear 64\!"
2421,quantitative,"\!1; sigmoid (B,V,64) (B,V,1) 65 \\"
2426,quantitative,Total -- -- -- 11905 \\
2435,quantitative,The selected validation checkpoint occurs at epoch 15 with ROI RMSE 1.1122.
2435,quantitative,"Its mean gate value is 0.2153, its 95th percentile is 0.6514, and 12.36\% of vertices have g(v)>0.5."
2435,comparative_claim,"Relative to the fixed blend, the gate reduces RMSE by 0.5\%, but increases new flips by 17.6\% and edge strain by 3.1\%."
2441,narrative,The training history also shows that no recorded checkpoint satisfies the soft orientation budget.
2441,quantitative,"At the selected checkpoint, the relative violation is 1.1619."
2441,narrative,"Soft geometric supervision can influence the admission pattern, but it cannot provide a per-output guarantee."
2441,comparative_claim,"This is a useful negative result, not a failed gate: learned spatial admission improves reconstruction, but the same mechanism does not establish the discrete fold condition required at deployment."
2450,quantitative,figures/final/fig_4_6_stage3_gate_evidence.pdf
2453,quantitative,"(a,b) The dashed line and open circle identify the selected validation epoch; positive relative violation means that the soft budget is not satisfied. (c) Change from the fixed =0.1 blend."
2459,implementation_claim,The aggregate comparison does not by itself establish that admission is spatial. therefore maps the same validation predictions per vertex.
2459,narrative,"The neural proposer places residual magnitude across the ROI, whereas the gate and the admitted correction concentrate along the dorsum--tip column."
2459,comparative_claim,The anchor-relative effect is positive over much of that central region but negative around parts of the lateral and lower boundary.
2459,implementation_claim,"The gate is thus selective rather than uniformly beneficial, which explains both the small aggregate RMSE gain and the remaining need for a hard geometric certificate."
2470,quantitative,figures/final/fig_4_7_stage3_spatial_mechanism.pdf
2473,comparative_claim+implementation,"4\,830 validation pairs. (a) Mean proposed residual magnitude E[\|R_v\|], where R=N-A. (b) Mean admission gate E[G_v]. (c) Mean anchor-relative effect E[e_A(v)-e_ raw(v)]; positive values indicate improvement over the anchor. (d) Mean admitted residual magnitude E[\|G_vR_v\|] before certificate projection."
2473,narrative,Cyan circles mark the nine exact handles.
2485,narrative,"Spatial admission extracts more residual accuracy than global blending, but the learned constraint remains statistical."
2485,quantitative,Stage 4 keeps the gate for local admission and applies a deterministic projection to enforce the deployment condition.
2496,narrative,"For a displacement field D, let K( D) be the set of ROI faces whose orientation is reversed relative to the source mesh."
2496,implementation_claim,The certificate returns
2500,narrative,D_ cert = _ fold \! ( D_ hard; D_R ) such that K( D_ cert) K( D_R).
2508,narrative,This is an anchor-relative guarantee: the learned pathway may not introduce a fold on a face that remains unfolded under Ridge.
2511,narrative,The projection first zeros the residual at the nine handles.
2511,quantitative,"Starting with unit retention, it repeatedly identifies faces newly folded relative to Ridge and multiplies the retention of their incident vertices by 0.75."
2511,narrative,Exact handles are reimposed after each update.
2511,quantitative,The local phase runs for at most 64 iterations with no neighbourhood smoothing.
2511,quantitative,"If it does not certify, a 1001-point uniform residual scale is searched from 1 to 0."
2511,narrative,"The zero endpoint reproduces Ridge, so a certified endpoint always exists."
2519,quantitative+implementation,rfredrawindex8 Algorithm 4.1 --- Hard ridge-relative fold certificate
2524,quantitative,"On the 4\,830 validation pairs, certification changes RMSE only from 1.112194 to 1.112320 while reducing new flips from 0.5579\% to 0.2513\%."
2524,narrative,The fold-subset condition holds for every pair.
2524,quantitative,"Mean residual retention is 99.17\%, the median local iteration count is 13, and the mean is 13.38."
2524,quantitative,All validation pairs certify on the local path; the 1001-point uniform search is retained only as a guaranteed fallback.
2524,narrative,"Together, the iteration and retention distributions show that certification is typically achieved through limited local intervention rather than by collapsing the prediction towards the Ridge endpoint."
2535,quantitative+implementation,figures/final/fig_4_8_stage4_certificate_evidence.pdf
2538,quantitative,"4\,830 validation pairs. (a) Change from Ridge before and after projection. (b) Local projection iterations. (c) Residual retention."
2538,quantitative+implementation,The certificate rate is 100\%.
2546,implementation_claim,The certificate converts the gate's soft regularity objective into a deterministic deployment condition at negligible accuracy cost.
2546,implementation_claim,"The completed pipeline therefore assigns one role to each component: Ridge supplies the reference field, the conditional neural field supplies a proposal, the gate performs spatial admission, and the certificate enforces the final fold-set condition."
2546,narrative,The held-out comparison against external methods is reported in .
2555,implementation_claim,The certificate does not claim absolute injectivity.
2555,narrative,It establishes a partial order between the refined field and its matched Ridge reference.
2555,implementation_claim,"The contribution is the composition of learned spatial admission with a monotone, anchor-relative projection whose safe endpoint is the field used by the runtime."
2568,quantitative,"rfredrawindex9 Fig 5.1 --- Evaluation protocol (REDRAW; replaces figure\_5\_1\_evaluation\_protocol.pdf, merges rffigModular, 2 1) Claim: the evidence is legitimate by construction---identity-disjoint split, 9900 primary / 4830 validation ordered pairs, one shared control interface for all eight methods (``same anchor, swap module''), one metric triple, and hash-verified artefacts with no test-informed tuning (prerequisite for all RQs).\\ Style: Benjamin-Teoh vector language---cylinders = held-out data, four horizontal group frames: Data / Methods / Metrics / Release.\\ Composition: Data frame: FaceScape identity-disjoint split tree (train 576 / val 70 / test 100), annotated 9900 and 4830 ordered pairs."
2568,narrative,"Methods frame: eight method boxes sharing one input interface, modularity note ``same anchor, swap module''."
2568,quantitative,Metrics frame: three metric symbol boxes (strict free-ROI RMSE; target-relative new flips; edge-strain p_95).
2568,quantitative,"Release frame: sha-256 cylinder + ``single test unlock, no test-informed tuning''.\\ Data: protocol records in REPO/results/rbsr\_final\_rerun\_holdout\_v1/; counts must match REPO/docs/final\_tables/README.md. : system illustration (protocol)."
2568,quantitative,See figure\_redraw\_inventory.md Fig 5.1.
2591,quantitative,"identity-disjoint train/validation/test split fixes 100 held-out test identities, which form 100 99=9900 ordered source--target pairs on the registered ROI, with the target used only to define benchmark truth. (b) Independent method lanes: the proposed certified RB-SR is evaluated alongside its ridge anchor and Hybrid ablation, the CVAE-only baseline, the Laplacian, bi-Laplacian and ARAP geometric baselines, and the retrained LAMM strong baseline, each run without knowledge of the others through one shared control interface. (c) Common evidence: every lane is scored on the same battery---accuracy (strict free-ROI RMSE), regularity (normal flips and edge-strain p_95), and a regional breakdown over root, dorsum, tip and alae. (d) Paired inference: identity-level paired differences are tested with the Wilcoxon signed-rank test and bootstrap 95\% confidence intervals, Holm-corrected within the frozen primary and secondary families and reported with effect sizes and win rates, then stress-tested for control-noise robustness and failure localisation."
2591,narrative,"A cross-cutting reproducibility layer fixes the split, seeds, code, packages and pair-level records."
2612,narrative,The evaluation answers a practical question: which deformation engine should be trusted inside an interactive rhinoplasty-preview prototype?
2612,narrative,Rhinoform is not intended to be a benchmark viewer that exposes every tested method to the user.
2612,implementation_claim,"Instead, the eight-method comparison is used to understand the design space and to determine which methods deserve a role in the final runtime."
2612,narrative,"The prototype therefore deploys only the two methods with distinct interaction value: Ridge as the immediate real-time editor and fallback, and certified RB-SR as the main personalised enhanced preview. summarises the end-to-end protocol the rest of this chapter follows, read left to right: an identity-disjoint FaceScape split feeds independent method lanes, all lanes are scored on one common evidence battery, and every comparison is resolved by identity-level paired inference before the whole procedure is released under a single reproducibility guarantee."
2626,narrative,"The chapter's narrative is deliberately staged, and each stage carries an explicit evidence tier."
2626,quantitative,"Primary evidence is the PCA-64 held-out test protocol, unlocked exactly once on the 9\,900 held-out pairs; it supports every headline claim."
2626,narrative,Validation evidence is used for component diagnosis and operating-point selection before held-out evaluation.
2626,quantitative,Post-hoc evidence---the PCA-128 capacity study and the diagnostic breakdowns---was produced after the primary analysis and can generate hypotheses but cannot strengthen confirmatory claims.
2626,narrative,Supplementary evidence covers conformance and reproducibility checks on the released artefacts.
2626,quantitative,"The staging of the results follows the same logic: certified RB-SR is first placed against the classical and direct-generation baselines (), then against the strong learned baseline LAMM (), then the post-hoc PCA-128 study asks what changes when anchor capacity is unlocked (), and only then is the overall accuracy--regularity trade-off adjudicated ()."
2651,narrative,"All comparisons in this chapter run on the benchmark instantiation of the sparse-control dense-deformation task formalised in : ordered source--target identity pairs supply a measurable dense target, the nine landmark displacements act as hard controls, and scoring is restricted to the free ROI vertices."
2651,narrative,"This section fixes the remaining experimental contract --- the held-out data split, the compared methods, the metric set and the statistical decision rule --- so that every later result is read against one fixed protocol."
2663,narrative,"FaceScape is used because its registered topology makes the per-vertex error and risk metrics exact by index correspondence (), and it provides enough identities to run an identity-disjoint, all-pairs evaluation protocol instead of cherry-picked edits."
2663,quantitative,The dataset construction starts from 847 FaceScape identities.
2663,quantitative,"One identity (subject 832) lacks a usable neutral-expression mesh and is removed, leaving 846 valid identities in the parent pool."
2663,quantitative,"For the final confirmation rerun, the 100 identities in the previously observed parent test set are first excluded, leaving 746 eligible identities."
2663,quantitative,"The frozen confirmation manifest then orders identities by ascending SHA256(schema \_id) with split\_seed=20260809 and assigns test, then validation, then training: 100 confirmation-test, 70 validation and 576 training identities."
2663,narrative,"This final split is therefore hash-ordered, not PCA-stratified."
2663,narrative,It is fixed before confirmation training and is never re-drawn or tuned on confirmation-test performance.
2663,quantitative,No identity that appears as a source or target in the 9900 final test pairs occurs among the training or validation identities.
2663,quantitative,"Any identity-level statistic used as a model input---in particular the 64-dimensional source-PCA code---is fit on the 576 training identities only, so the split is leakage-free at both the pair and feature level."
2663,quantitative,"The final test set yields all 100 99=9900 ordered source--target pairs as the canonical strict evaluation set, and the validation set yields all 70 69=4830 ordered pairs."
2687,quantitative,"One boundary of this design is declared rather than hidden: the 100 test identities are excluded from the final retrain, but they were not historically untouched during earlier development of the project, and no independent external test set exists."
2687,narrative,"The reported result is therefore internal identity-disjoint confirmatory evidence---stronger than a tuned validation number because the held-out test chain was unlocked exactly once, but one tier below external validation, and every claim in this dissertation is scoped to that tier ()."
2687,narrative,The ROI is partitioned into the five anatomical sub-units of .
2687,narrative,"This partition is essential for evaluation because average ROI RMSE and geometric risk do not localise to the same regions: root/dorsum are often accuracy-hard but flip-safe, while tip and alae carry much of the flip risk."
2705,narrative,The compared methods cover three roles.
2705,quantitative,"External baselines are faithful re-implementations of deformation mechanisms already established in the nasal-editing and 3D-face literature surveyed in (Laplacian and bi-Laplacian , ARAP , CVAE-only , and the localized neural 3DMM editor LAMM , retrained from scratch on the identity-disjoint training split)."
2705,narrative,"They are run under the identical ROI topology, control encoding and metric set as the proposed methods."
2705,narrative,"Because no prior system has been evaluated on this FaceScape sparse-control protocol, they stand for documented mechanisms, not for the published results of any specific system, so the comparison is mechanism-level by design."
2705,narrative,"The matched internal reference and ablations are the ridge-only reference, hybrid residual and gate variants: they explain why the proposed method has an anchor, a residual proposal and an admission layer."
2705,narrative,"The proposed operating point is certified RB-SR, with the ridge anchor as its conservative fallback."
2720,narrative,Why exactly these five external baselines.
2720,narrative,Each baseline is a faithful re-implementation of one deformation principle that the related-work survey () identifies as a way to turn sparse handles into a dense ``after'' nose.
2720,narrative,"Together they span the field's three paradigms---classical geometric propagation, direct neural generation, and localized neural shape-space editing---and bracket the accuracy/regularity plane, so that any win by the proposed method cannot be attributed to a missing or straw-man comparator."
2720,narrative,"Each is a fair comparator because it is run under the identical ROI topology, identity split, control encoding and metric set as RB-SR; the only thing that varies is the deformation mechanism."
2720,narrative,"All five appear in the headline benchmark () and the sub-unit decomposition (); the noise-robustness study () focuses on the decision-relevant quartet (anchor, certified RB-SR, LAMM, ARAP); the classical baselines keep their own diagnostic packs in ; and the LAMM comparison receives its own staged analysis in ."
2739,narrative,Represents the membrane/minimal-surface tradition of sparse-handle mesh editing .
2739,narrative,It is a fair comparator because it is the canonical way to diffuse a few landmark displacements smoothly across a surface.
2739,narrative,In the evaluation it tests whether a generic smoothness prior is sufficient for face-specific nasal response.
2739,narrative,Represents the thin-plate/curvature-minimising end of the same family.
2739,narrative,It is included to test the intuition that a smoother field is automatically a safer or more faithful nasal preview.
2739,narrative,"The evaluation measures that assumption directly through RMSE, normal-flip and edge-strain metrics."
2739,narrative,"Represents the shape-preserving, detail-retaining end of geometry processing ."
2739,comparative_claim,"It is the conservative geometric comparator: if a method improves accuracy by allowing non-rigid residuals, ARAP shows the regularity cost against a strong local-rigidity prior."
2739,narrative,"Represents the recent move to generate the dense ``after'' shape directly with a deep conditional model , with no linear anchor."
2739,implementation_claim,It is the essential learning baseline because it tests the direct-generator alternative to an anchored pipeline.
2739,narrative,Its role is to separate the value of learned capacity from the value of source-conditioned anchoring and residual admission.
2739,narrative,"Represents the state-of-the-art localized shape-space frontier surveyed in , and is included following examiner feedback recommending a comparison against this research line."
2739,narrative,"Because its published checkpoint is trained on a different corpus, LAMM is retrained from scratch on the identity-disjoint split, with its manipulation patches instantiated as the five nasal sub-units and the nine benchmark landmarks supplied as its control set, and evaluated under the identical strict scorer."
2739,comparative_claim+implementation,It is the strong accuracy comparator: it asks whether a modern region-controllable mesh autoencoder simply dominates the anchored pipeline.
2772,narrative,The remaining members of the localized-editing family---ShapeFusion's masked diffusion editor and the implicit localized head models NPHM and ImHead ---are acknowledged but not run in this round.
2772,narrative,"Their obstacle is representational: the implicit models abandon the fixed topology on which the index-exact metrics depend, so a faithful comparison requires a registration bridge whose error would contaminate the scorer, and ShapeFusion requires a sampling-budget convention for its stochastic outputs. specifies the adaptation protocol under which each becomes commensurable; with LAMM already measured, these remain the next tier rather than the first."
2783,implementation_claim,"Against these four, the proposed family is organised as a derivation rather than a menu: ridge-only is the internal backbone ablation, ridge plus a globally admitted residual is the unsafe residual ablation, and RB-SR is the accuracy-oriented gated-residual method the runtime ships. records these roles; the quantitative evidence for each is reported in ."
2795,narrative,span three deformation paradigms; the internal rows are the ablation chain that derives RB-SR.
2800,narrative,Method Evaluation role Question tested \\
2802,narrative,Laplacian External geometric baseline (smooth propagation) Is first-order smooth propagation enough for sparse nasal editing?
2802,comparative_claim,\\ Bi-Laplacian External geometric baseline (higher-order smoothness) Does higher-order smoothness improve fidelity or regularity?
2802,narrative,\\ ARAP External geometric baseline (local rigidity) What is the conservative local-rigidity endpoint?
2802,implementation_claim,\\ CVAE-only External learning baseline (direct generation) Can direct nonlinear generation replace an anchored pipeline?
2802,comparative_claim+implementation,\\ LAMM External strong baseline (localized neural editing) Does a modern region-controllable mesh autoencoder dominate the anchored pipeline?
2802,narrative,\\ Ridge anchor Internal backbone ablation How strong is the stable source-conditioned sparse-to-dense estimate?
2802,quantitative,\\ Hybrid =0.1 Residual ablation Is there learnable residual signal beyond the anchor?
2802,narrative,"\\ Certified RB-SR Proposed certified gated-residual method Can residual admission be spatially controlled under risk budgets, with a hard fold guarantee?"
2813,narrative,The methods frame of the protocol figure () contrasts the two sides of this taxonomy visually.
2813,implementation_claim,"The five external comparators sit apart as independent deformation principles, while the proposed family is a single progression: the source-conditioned ridge anchor (which contains the source PCA basis rather than treating it as a separate later stage) is extended by the CVAE residual to form the Hybrid, the Hybrid is gated to form the raw refinement, and the certificate projection completes certified RB-SR."
2813,implementation_claim,"Reading the proposed row left to right therefore recovers the ablation chain---anchor, then +residual, then +gate, then +certificate---that the evaluation uses to attribute every gain."
2829,quantitative,"Accuracy is measured by strict free-ROI RMSE over the 3925 free ROI vertices, in uncalibrated FaceScape units; the nine hard-constrained landmarks are excluded because their error is forced to zero."
2829,narrative,"The same error is decomposed by nasal sub-unit (radix, dorsum, tip and left/right alae) in ."
2829,quantitative,Regularity is measured by new normal-flip percentage and edge-strain p_95.
2829,implementation_claim,The benchmark and runtime quantities have different scopes.
2829,narrative,ROI RMSE and target-relative new-flip percentage require a registered target and are therefore evaluation-only.
2829,narrative,"At run time, edge strain and the control-scale applicability statistic are source-computable, while fold control is enforced relative to the Ridge anchor rather than to an unavailable target."
2840,narrative,expands the metric definitions used by the main benchmark and diagnostic tables.
2840,narrative,"The strict protocol is intentionally conservative about sparse controls: landmark vertices are hard-fixed before scoring, so accuracy is judged on the free ROI vertices."
2853,narrative,Metric Definition Scope / interpretation \\
2855,quantitative,ROI RMSE 1| V_ free| _v V_ free\| d_v- d_v\|_2^2 Strict free-vertex RMSE over 3925 non-landmark ROI vertices.
2855,quantitative,\\ Landmark RMSE 19 _v L\| d_v- d_v\|_2^2 Sanity check after hard-fixing the nine controls; expected to be zero.
2855,quantitative,"\\ Edge-strain p_95 p_95 ( |\|( s_i+ d_i)-( s_j+ d_j)\|_2-\| s_i- s_j\|_2 | (\| s_i- s_j\|_2,10^-12) ) 95th percentile relative edge-length change over ROI mesh edges."
2855,quantitative,"\\ New normal-flip \% 100 |\f: _f( s, y)<0 _f( s, y_ tgt) 0\|| F| Target-relative model-induced fold percentage; target-intrinsic folds are not charged to the method."
2874,quantitative,"All comparisons are made between a method and the ridge\,+\,source-PCA baseline on per-identity aggregates rather than on the 9900 raw pairs: each metric is first averaged within an identity and the method-baseline difference is formed per identity, so the analysis unit is the identity and pairs sharing an identity are not treated as independent."
2874,quantitative,"For every method metric comparison the protocol reports (i) a paired two-sided Wilcoxon signed-rank test on the source-identity differences, (ii) a percentile bootstrap 95\% confidence interval (10,000 resamples) , and (iii) the paired effect size Cohen's d_z together with the identity-level win rate."
2874,comparative_claim,"Because metric error can be clustered by either source or target identity, the bootstrap interval is computed under both clusterings, and a difference is declared directional (``improved''/``worse'') only when both clusterings agree in sign; the target clustering thus acts as a robustness check on the source clustering."
2874,narrative,Multiplicity is controlled separately within the frozen primary and secondary families by Holm--Bonferroni adjustment of the Wilcoxon p-values .
2874,narrative,The primary family is certified RB-SR versus its matched Ridge anchor across six metrics.
2874,quantitative,"Certified RB-SR versus LAMM is a secondary direct six-metric family, and all seven non-Ridge methods versus Ridge form a separate secondary 42-comparison family."
2874,comparative_claim,A comparison is reported as significant only when its within-family Holm-adjusted p<0.05 and the dual-clustering direction agrees.
2874,comparative_claim,"For all reported metrics lower is better, so a negative difference favours the method."
2874,comparative_claim,Effect sizes and operating-point trade-offs are reported alongside p-values because a statistically significant difference can still be too small to matter for a consultation tool.
2900,narrative,summarises the statistical contract that is applied to the committed pair-level metric files.
2911,narrative,Item Pre-specified protocol \\
2913,narrative,Evaluation unit Ordered source-target identity pair.
2913,narrative,\\ Primary aggregation Pair metrics are averaged within source identity before paired comparison.
2913,narrative,\\ Sensitivity aggregation Target-identity bootstrap is also reported as a dependence check.
2913,quantitative,\\ Bootstrap Percentile bootstrap with n=10000 resamples.
2913,narrative,\\ Primary paired test Two-sided Wilcoxon signed-rank test on source-identity paired differences.
2913,narrative,\\ Effect size Cohen's d_z on source-identity paired differences.
2913,narrative,\\ Primary multiplicity family Certified RB-SR versus matched Ridge across six frozen metrics; Holm--Bonferroni correction over six tests.
2913,quantitative,"\\ Secondary families Certified RB-SR versus LAMM across six metrics; separately, seven non-Ridge methods versus Ridge across six metrics (42 tests)."
2913,comparative_claim,\\ Direction convention All metrics are lower-is-better; negative method-minus-baseline difference means improvement.
2913,narrative,\\ Baseline for paired tests Source-conditioned ridge anchor.
2913,narrative,\\ Strict protocol Landmarks hard-fixed before scoring; ROI RMSE excludes landmark vertices; normal-flip \% is target-relative new flip.
2933,quantitative+implementation,"With the full RB-SR pipeline derived in Chapter 4, the pre-specified protocol scores seven benchmark methods and the internal Hybrid ablation once on the 9\,900 held-out pairs, and the results are read in the staged order announced in ."
2933,implementation_claim,"This section settles the first stage: how does the certified pipeline fare against the classical geometric editors, the direct neural generator, and its matched internal reference and residual ablation?"
2933,narrative,The strong learned baseline LAMM appears in for completeness---the table is a single committed artefact---but its analysis is deliberately deferred to .
2933,implementation_claim,"The predeclared primary hypothesis of the entire evaluation is intentionally modest and internal: certified RB-SR must beat its own matched ridge anchor on ROI RMSE without increasing target-relative new flips, with the certificate holding on every pair."
2933,quantitative+implementation,"That hypothesis passes: RMSE falls from 1.0739 to 1.0599 (-1.30\%) and new flips fall from 0.332\% to 0.227\% (-31.6\%), with the fold-subset certificate satisfied on all 9\,900 pairs."
2933,narrative,"On registered FaceScape topology every identity shares a vertex indexing, so per-vertex RMSE is the exact, correspondence-aware error; Chamfer/nearest-neighbour distances are unnecessary here because they discard the known correspondence and are strictly less informative."
2933,narrative,"We report uncalibrated FaceScape units rather than millimetres, consistent with ."
2933,narrative,"ROI RMSE here measures how faithfully the learned sparse-to-dense map reconstructs the dense nasal deformation of unseen identities, i.e.\ whether the population-level control shape regularity generalises rather than overfits."
2960,comparative_claim,"Against the external comparators of this stage, certified RB-SR at ROI RMSE 1.0599 is 35\% lower than Laplacian (1.6420), 38\% lower than ARAP (1.6969), 47\% lower than bi-Laplacian (2.0071) and 20\% lower than the direct CVAE generator (1.3195), while simultaneously recording fewer target-relative new flips than any of them except ARAP."
